12:48:15.272 [qtp1643691748-17] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Insert new Ingredient: Ingredient [id=18, name=fsdgsdk, calories=234, fats=56.0, proteins=5.0, carbohydrates=1.8, category=meat]
12:48:26.532 [qtp1643691748-16] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Insert new Ingredient: Ingredient [id=19, name=fsdgsdk, calories=234, fats=56.0, proteins=5.0, carbohydrates=1.8, category=meat]
12:48:29.747 [qtp1643691748-17] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Insert new Ingredient: Ingredient [id=20, name=fsdgsdk, calories=234, fats=56.0, proteins=5.0, carbohydrates=1.8, category=meat]
13:11:08.193 [qtp1643691748-16] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=fsdgsdk, calories=234, fats=56.0, proteins=5.0, carbohydrates=1.8, category=meat]
13:40:14.378 [qtp1643691748-17] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=sgegegsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
14:14:22.788 [qtp1643691748-14] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=sgetsjsjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
14:15:09.443 [qtp1643691748-14] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=sgetsjsjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
14:24:26.594 [qtp1643691748-18] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=aaaaatsjsjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
14:26:51.281 [qtp1643691748-14] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=rgsrdgtsjsjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
14:28:48.000 [qtp1643691748-18] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=eryreygtsjsjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:04:54.945 [qtp1643691748-16] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=tysjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:06:59.208 [qtp1643691748-15] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=55tjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:11:19.902 [qtp1643691748-15] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=55tjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:11:53.148 [qtp1643691748-13] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=55tjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:27:58.192 [qtp1643691748-14] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=wdwdjsg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:28:19.296 [qtp1643691748-15] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Insert new Ingredient: Ingredient [id=21, name=qgeg, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:31:10.189 [qtp1643691748-15] INFO  com.ssinitsa.training.culinary.services.impl.IngredientServiceImpl - Update Ingredient: Ingredient [id=10, name=qfewf, calories=80, fats=0.3, proteins=1.4, carbohydrates=0.1, category=meat]
15:36:25.154 [qtp1643691748-16] INFO  com.ssinitsa.training.culinary.services.impl.RecipeServiceImpl - Add new recipe: Recipe [id=9, name=recipeqweq3, description=something, authorId=1, created=2017-05-14 15:36:25.107, category=hot, vegetarian=false]
